date,price
2021-9-15,109412.0
2021-9-16,119755.0
2021-9-17,139891.0
2021-9-18,138825.0
2021-9-19,135150.0
2021-9-20,131312.0
2021-9-21,125792.0
2021-9-22,110096.0
2021-9-23,102317.0
2021-9-24,113902.0
2021-9-25,119836.0
2021-9-26,109897.0
2021-9-27,113740.0
2021-9-28,113217.0
2021-9-29,110467.0
2021-9-30,109336.0
2021-10-1,109714.0
2021-10-2,116114.0
2021-10-3,132411.0
2021-10-4,140630.0
2021-10-5,139863.0
2021-10-6,130396.0
2021-10-7,133656.0
2021-10-8,127322.0
2021-10-9,125609.0
2021-10-10,138638.0
2021-10-11,135857.0
2021-10-12,122931.0
2021-10-13,127519.0
2021-10-14,129101.0
2021-10-15,128063.0
2021-10-16,136478.0
2021-10-17,135828.0
2021-10-18,134422.0
2021-10-19,134658.0
2021-10-20,127334.0
2021-10-21,124107.0
2021-10-22,116531.0
2021-10-23,115538.0
2021-10-24,131072.0
2021-10-25,145732.0
2021-10-26,142710.0
2021-10-27,147572.0
2021-10-28,148552.0
2021-10-29,137384.0
2021-10-30,152190.0
2021-10-31,154699.0
2021-11-1,140580.0
2021-11-2,133000.0
2021-11-3,149140.0
2021-11-4,142422.0
2021-11-5,142788.0
2021-11-6,138383.0
2021-11-7,136624.0
2021-11-8,137974.0
2021-11-9,147753.0
2021-11-10,148687.0
2021-11-11,141947.0
2021-11-12,138967.0
2021-11-13,154851.0
2021-11-14,154037.0
2021-11-15,185313.0
2021-11-16,185064.0
2021-11-17,204482.0
2021-11-18,208390.0
2021-11-19,218759.0
2021-11-20,195930.0
2021-11-21,193007.0
2021-11-22,185487.0
2021-11-23,177726.0
2021-11-24,181968.0
2021-11-25,190595.0
2021-11-26,186640.0
2021-11-27,197831.0
2021-11-28,176706.0
2021-11-29,188491.0
2021-11-30,206236.0
2021-12-1,209078.0
2021-12-2,217866.0
2021-12-3,224711.0
2021-12-4,221212.0
2021-12-5,210815.0
2021-12-6,214320.0
2021-12-7,215415.0
2021-12-8,208779.0
2021-12-9,219821.0
2021-12-10,233971.0
2021-12-11,207667.0
2021-12-12,195910.0
2021-12-13,203991.0
2021-12-14,218248.0
2021-12-15,189145.0
2021-12-16,192137.0
2021-12-17,199782.0
2021-12-18,197347.0
2021-12-19,186564.0
2021-12-20,190349.0
2021-12-21,200174.0
2021-12-22,201475.0
2021-12-23,209497.0
2021-12-24,195597.0
2021-12-25,213081.0
2021-12-26,219666.0
2021-12-27,229986.0
2021-12-28,240345.0
2021-12-29,238658.0
2021-12-30,222731.0
2021-12-31,215020.0
2022-1-1,219182.0
2022-1-2,221184.0
2022-1-3,254415.0
2022-1-4,268478.0
2022-1-5,263583.0
2022-1-6,254352.0
2022-1-7,231804.0
2022-1-8,228179.0
2022-1-9,215610.0
2022-1-10,212583.0
2022-1-11,242677.0
2022-1-12,234347.0
2022-1-13,242058.0
2022-1-14,250318.0
2022-1-15,239878.0
2022-1-16,259833.0
2022-1-17,276208.0
2022-1-18,278040.0
2022-1-19,256565.0
2022-1-20,246541.0
2022-1-21,240590.0
2022-1-22,171056.0
2022-1-23,215131.0
2022-1-24,204771.0
2022-1-25,218542.0
2022-1-26,214861.0
2022-1-27,196832.0
2022-1-28,216919.0
2022-1-29,218251.0
2022-1-30,241950.0
2022-1-31,270492.0
2022-2-1,286289.0
2022-2-2,303955.0
2022-2-3,273383.0
2022-2-4,260260.0
2022-2-5,267061.0
2022-2-6,296765.0
2022-2-7,298468.0
2022-2-8,302763.0
2022-2-9,311042.0
2022-2-10,280480.0
2022-2-11,292133.0
2022-2-12,295087.0
2022-2-13,269476.0
2022-2-14,291694.0
2022-2-15,287254.0
2022-2-16,301910.0
2022-2-17,312252.0
2022-2-18,304633.0
2022-2-19,266296.0
2022-2-20,261047.0
2022-2-21,254337.0
2022-2-22,243077.0
2022-2-23,230467.0
2022-2-24,234800.0
2022-2-25,189670.0
2022-2-26,194343.0
2022-2-27,243693.0
2022-2-28,241926.0
2022-3-1,214659.0
2022-3-2,222512.0
2022-3-3,244173.0
2022-3-4,241489.0
2022-3-5,235463.0
2022-3-6,205619.0
2022-3-7,200153.0
2022-3-8,166293.0
2022-3-9,162413.0
2022-3-10,189382.0
2022-3-11,200498.0
2022-3-12,190105.0
2022-3-13,178947.0
2022-3-14,218373.0
2022-3-15,226664.0
2022-3-16,228056.0
2022-3-17,233212.0
2022-3-18,213425.0
2022-3-19,239451.0
2022-3-20,273041.0
2022-3-21,285881.0
2022-3-22,271761.0
2022-3-23,289659.0
2022-3-24,301997.0
2022-3-25,293797.0
2022-3-26,313772.0
2022-3-27,319082.0
2022-3-28,303621.0
2022-3-29,342809.0
2022-3-30,333419.0
2022-3-31,349321.0
2022-4-1,338669.0
2022-4-2,334897.0
2022-4-3,355473.0
2022-4-4,361235.0
2022-4-5,380264.0
2022-4-6,368620.0
2022-4-7,366258.0
2022-4-8,332650.0
2022-4-9,348491.0
2022-4-10,338090.0
2022-4-11,348761.0
2022-4-12,336320.0
2022-4-13,312829.0
2022-4-14,327053.0
2022-4-15,323291.0
2022-4-16,305190.0
2022-4-17,307081.0
2022-4-18,316746.0
2022-4-19,307773.0
2022-4-20,330033.0
2022-4-21,350576.0
2022-4-22,366182.0
2022-4-23,366998.0
2022-4-24,364453.0
2022-4-25,372255.0
2022-4-26,344761.0
2022-4-27,405677.0
2022-4-28,384031.0
2022-4-29,369892.0
2022-4-30,384612.0
2022-5-1,408150.0
2022-5-2,343523.0
2022-5-3,310727.0
2022-5-4,299912.0
2022-5-5,297470.0
2022-5-6,308698.0
2022-5-7,274746.0
2022-5-8,269189.0
2022-5-9,260822.0
2022-5-10,216619.0
2022-5-11,196041.0
2022-5-12,210542.0
2022-5-13,180365.0
2022-5-14,175396.0
2022-5-15,194552.0
2022-5-16,203084.0
2022-5-17,209989.0
2022-5-18,198016.0
2022-5-19,200518.0
2022-5-20,181644.0
2022-5-21,190641.0
2022-5-22,97828.5
2022-5-23,180107.0
2022-5-24,180475.0
2022-5-25,186694.0
2022-5-26,179350.0
2022-5-27,163085.0
2022-5-28,170801.0
2022-5-29,153938.0
2022-5-30,137818.0
2022-5-31,145008.0
2022-6-1,148172.0
2022-6-2,163333.0
2022-6-3,163747.0
2022-6-4,157816.0
2022-6-5,159255.0
2022-6-6,154420.0
2022-6-7,156722.0
2022-6-8,144382.0
2022-6-9,167260.0
2022-6-10,166502.0
2022-6-11,152204.0
2022-6-12,155489.0
2022-6-13,132862.0
2022-6-14,103971.0
2022-6-15,106756.0
2022-6-16,88176.7
2022-6-17,90568.5
2022-6-18,105716.0
2022-6-19,91746.7
2022-6-20,93611.5
2022-6-21,87937.1
2022-6-22,90157.6
2022-6-23,90163.2
2022-6-24,95616.5
2022-6-25,91036.6
2022-6-26,101291.0
2022-6-27,109767.0
2022-6-28,106726.0
2022-6-29,99350.2
2022-6-30,98875.4
2022-7-1,98575.5
2022-7-2,94510.8
2022-7-3,92016.2
2022-7-4,95003.6
2022-7-5,95657.1
2022-7-6,94595.0
2022-7-7,102956.0
2022-7-8,101295.0
2022-7-9,107001.0
2022-7-10,111689.0
2022-7-11,111267.0
2022-7-12,118028.0
2022-7-13,110928.0
2022-7-14,104258.0
2022-7-15,98875.7
2022-7-16,105727.0
2022-7-17,113157.0
2022-7-18,114841.0
2022-7-19,126494.0
2022-7-20,122419.0
2022-7-21,145522.0
2022-7-22,140525.0
2022-7-23,126304.0
2022-7-24,137050.0
2022-7-25,133570.0
2022-7-26,126980.0
2022-7-27,131017.0
2022-7-28,118057.0
2022-7-29,118830.0
2022-7-30,134232.0
2022-7-31,147558.0
2022-8-1,147819.0
2022-8-2,135747.0
2022-8-3,135440.0
2022-8-4,129756.0
2022-8-5,133342.0
2022-8-6,132343.0
2022-8-7,130229.0
2022-8-8,142089.0
2022-8-9,139787.0
2022-8-10,141151.0
2022-8-11,140492.0
2022-8-12,145924.0
2022-8-13,148013.0
2022-8-14,154228.0
2022-8-15,156178.0
2022-8-16,147136.0
2022-8-17,145022.0
2022-8-18,134566.0
2022-8-19,127848.0
2022-8-20,128160.0
2022-8-21,102953.0
2022-8-22,102409.0
2022-8-23,108656.0
2022-8-24,108705.0
2022-8-25,111452.0
2022-8-26,117416.0
2022-8-27,123035.0
2022-8-28,109489.0
2022-8-29,108464.0
2022-8-30,104165.0
2022-8-31,112595.0
2022-9-1,110382.0
2022-9-2,111444.0
2022-9-3,115991.0
2022-9-4,107785.0
2022-9-5,108204.0
2022-9-6,109025.0
2022-9-7,120985.0
2022-9-8,114795.0
2022-9-9,114122.0
2022-9-10,117725.0
2022-9-11,122075.0
2022-9-12,117198.0
2022-9-13,123871.0
2022-9-14,113881.0
2022-9-15,113994.0
2022-9-16,113653.0
2022-9-17,105813.0
2022-9-18,103033.0
2022-9-19,105792.0
2022-9-20,96100.6
2022-9-21,94916.2
2022-9-22,94909.5
2022-9-23,89845.9
2022-9-24,100649.0
2022-9-25,103498.0
2022-9-26,103638.0
2022-9-27,101890.0
2022-9-28,103839.0
2022-9-29,100115.0
2022-9-30,101900.0
2022-10-1,102862.0
2022-10-2,100426.0
2022-10-3,99018.2
2022-10-4,97031.5
2022-10-5,103427.0
2022-10-6,105931.0
2022-10-7,103727.0
2022-10-8,102201.0
2022-10-9,93223.2
2022-10-10,97232.4
2022-10-11,99857.1
2022-10-12,96745.5
2022-10-13,93389.6
2022-10-14,90576.2
2022-10-15,93739.5
2022-10-16,93929.6
2022-10-17,91400.1
2022-10-18,99161.8
2022-10-19,98336.4
2022-10-20,95688.4
2022-10-21,95116.4
2022-10-22,91709.5
2022-10-23,90592.8
2022-10-24,93284.8
2022-10-25,96838.3
2022-10-26,93654.3
2022-10-27,101444.0
2022-10-28,107658.0
2022-10-29,104438.0
2022-10-30,107104.0
2022-10-31,109943.0
2022-11-1,103052.0
2022-11-2,101955.0
2022-11-3,103738.0
2022-11-4,98710.3
2022-11-5,99550.8
2022-11-6,105660.0
2022-11-7,96109.4
2022-11-8,97185.7
2022-11-9,91030.2
2022-11-10,81767.5
2022-11-11,59960.0
2022-11-12,73013.2
2022-11-13,72240.6
2022-11-14,65948.8
2022-11-15,59319.9
2022-11-16,60218.1
2022-11-17,62975.5
2022-11-18,69199.8
2022-11-19,69219.2
2022-11-20,70478.1
2022-11-21,70533.8
2022-11-22,62767.6
2022-11-23,61622.7
2022-11-24,65071.0
2022-11-25,70940.4
2022-11-26,71977.0
2022-11-27,74684.0
2022-11-28,83549.5
2022-11-29,77582.5
2022-11-30,81353.4
2022-12-1,82727.4
2022-12-2,82962.8
2022-12-3,82864.0
2022-12-4,82994.7
2022-12-5,83178.8
2022-12-6,84578.4
2022-12-7,82793.8
2022-12-8,80241.3
2022-12-9,80128.2
2022-12-10,79755.7
2022-12-11,79989.5
2022-12-12,83961.0
2022-12-13,83997.4
2022-12-14,84824.6
2022-12-15,76931.3
2022-12-16,81918.9
2022-12-17,75660.3
2022-12-18,72943.6
2022-12-19,73872.5
2022-12-20,69788.1
2022-12-21,73199.2
2022-12-22,78508.8
2022-12-23,79043.7
2022-12-24,79799.4
2022-12-25,84515.4
2022-12-26,80539.8
2022-12-27,84387.0
2022-12-28,85205.4
2022-12-29,89068.7
2022-12-30,88450.7
2022-12-31,82906.5
2023-1-1,83495.2
2023-1-2,83495.2
2023-1-3,83495.2
2023-1-4,87435.3
2023-1-5,89536.2
2023-1-6,92966.4
2023-1-7,83790.6
2023-1-8,101927.0
2023-1-9,98644.6
2023-1-10,97379.8
2023-1-11,102753.0
2023-1-12,104148.0
2023-1-13,99533.3
2023-1-14,99519.6
2023-1-15,103987.0
2023-1-16,101736.0
2023-1-17,107276.0
2023-1-18,108122.0
2023-1-19,101742.0
2023-1-20,99801.2
2023-1-21,93030.5
2023-1-22,99062.0
2023-1-23,107760.0
2023-1-24,107426.0
2023-1-25,102550.0
2023-1-26,98657.5
2023-1-27,77853.0
2023-1-28,97098.8
2023-1-29,99023.9
2023-1-30,97511.1
2023-1-31,102635.0
2023-2-1,100239.0
2023-2-2,101492.0
2023-2-3,105084.0
2023-2-4,102680.0
2023-2-5,105516.0
2023-2-6,106404.0
2023-2-7,104283.0
2023-2-8,109096.0
2023-2-9,111567.0
2023-2-10,117166.0
2023-2-11,109684.0
2023-2-12,101948.0
2023-2-13,103041.0
2023-2-14,101525.0
2023-2-15,100919.0
2023-2-16,101541.0
2023-2-17,107275.0
2023-2-18,118831.0
2023-2-19,121808.0
2023-2-20,129398.0
2023-2-21,122322.0
2023-2-22,122322.0
2023-2-23,115116.0
2023-2-24,112556.0
2023-2-25,98285.1
2023-2-26,92321.9
2023-2-27,107931.0
2023-2-28,109919.0
2023-3-1,111079.0
2023-3-2,113252.0
2023-3-3,112625.0
2023-3-4,115501.0
2023-3-5,113811.0
2023-3-6,110907.0
2023-3-7,110890.0
